2026-04-02 13:39:02,577 | INFO | bank_churn | Starting bank churn training pipeline
2026-04-02 13:39:02,578 | INFO | bank_churn | Loading dataset from D:\Downloads\ogladane\Ytb-dl\Churn Project\data\raw\bank_churn.csv
2026-04-02 13:39:02,606 | INFO | bank_churn | Dataset loaded with shape: (10000, 14)
2026-04-02 13:39:02,620 | INFO | bank_churn | Total missing values: 0
2026-04-02 13:39:02,620 | INFO | bank_churn | Duplicate rows: 0
2026-04-02 13:39:02,625 | INFO | bank_churn | Prepared features and target
2026-04-02 13:39:02,625 | INFO | bank_churn | Feature matrix shape: (10000, 10)
2026-04-02 13:39:02,627 | INFO | bank_churn | Target distribution: {0: 0.7963, 1: 0.2037}
2026-04-02 13:39:02,629 | INFO | bank_churn | Numerical features (8): ['CreditScore', 'Age', 'Tenure', 'Balance', 'NumOfProducts', 'HasCrCard', 'IsActiveMember', 'EstimatedSalary']
2026-04-02 13:39:02,629 | INFO | bank_churn | Categorical features (2): ['Geography', 'Gender']
2026-04-02 13:39:02,641 | INFO | bank_churn | Train shape: (8000, 10) | Test shape: (2000, 10)
2026-04-02 13:39:02,642 | INFO | bank_churn | Training model: logistic_regression
2026-04-02 13:39:02,707 | INFO | bank_churn | Metrics for logistic_regression: {'accuracy': 0.721, 'precision': 0.3949930458970793, 'recall': 0.6977886977886978, 'f1': 0.5044404973357016, 'roc_auc': 0.7648264597417139, 'model': 'logistic_regression'}
2026-04-02 13:39:03,871 | INFO | bank_churn | Training model: random_forest
2026-04-02 13:52:28,051 | INFO | bank_churn | Starting bank churn training pipeline
2026-04-02 13:52:28,051 | INFO | bank_churn | Loading dataset from D:\Downloads\ogladane\Ytb-dl\Churn Project\data\raw\bank_churn.csv
2026-04-02 13:52:28,078 | INFO | bank_churn | Dataset loaded with shape: (10000, 14)
2026-04-02 13:52:28,092 | INFO | bank_churn | Total missing values: 0
2026-04-02 13:52:28,092 | INFO | bank_churn | Duplicate rows: 0
2026-04-02 13:52:28,095 | INFO | bank_churn | Prepared features and target
2026-04-02 13:52:28,095 | INFO | bank_churn | Feature matrix shape: (10000, 10)
2026-04-02 13:52:28,096 | INFO | bank_churn | Target distribution: {0: 0.7963, 1: 0.2037}
2026-04-02 13:52:28,098 | INFO | bank_churn | Numerical features (8): ['CreditScore', 'Age', 'Tenure', 'Balance', 'NumOfProducts', 'HasCrCard', 'IsActiveMember', 'EstimatedSalary']
2026-04-02 13:52:28,099 | INFO | bank_churn | Categorical features (2): ['Geography', 'Gender']
2026-04-02 13:52:28,113 | INFO | bank_churn | Train shape: (8000, 10) | Test shape: (2000, 10)
2026-04-02 13:52:28,114 | INFO | bank_churn | Training model: logistic_regression
2026-04-02 13:52:28,176 | INFO | bank_churn | Metrics for logistic_regression: {'accuracy': 0.721, 'precision': 0.3949930458970793, 'recall': 0.6977886977886978, 'f1': 0.5044404973357016, 'roc_auc': 0.7648264597417139, 'model': 'logistic_regression'}
2026-04-02 13:52:29,138 | INFO | bank_churn | Training model: random_forest
2026-04-02 13:52:30,087 | INFO | bank_churn | Metrics for random_forest: {'accuracy': 0.8575, 'precision': 0.7033333333333334, 'recall': 0.5184275184275184, 'f1': 0.5968882602545968, 'roc_auc': 0.853886243716752, 'model': 'random_forest'}
2026-04-02 13:52:31,150 | INFO | bank_churn | Training model: gradient_boosting
2026-04-02 13:52:32,326 | INFO | bank_churn | Metrics for gradient_boosting: {'accuracy': 0.865, 'precision': 0.7939914163090128, 'recall': 0.45454545454545453, 'f1': 0.578125, 'roc_auc': 0.8686043516551991, 'model': 'gradient_boosting'}
2026-04-02 13:52:33,111 | INFO | bank_churn | Training model: hist_gradient_boosting
2026-04-02 13:52:34,948 | INFO | bank_churn | Metrics for hist_gradient_boosting: {'accuracy': 0.861, 'precision': 0.7529411764705882, 'recall': 0.47174447174447176, 'f1': 0.5800604229607251, 'roc_auc': 0.8575385863521456, 'model': 'hist_gradient_boosting'}
2026-04-02 13:52:35,835 | INFO | bank_churn | Best model selected: gradient_boosting
2026-04-02 13:52:35,835 | INFO | bank_churn | Benchmark saved to: D:\Downloads\ogladane\Ytb-dl\Churn Project\outputs\metrics\model_benchmark.csv and D:\Downloads\ogladane\Ytb-dl\Churn Project\outputs\metrics\model_benchmark.json
2026-04-02 13:52:35,835 | INFO | bank_churn | Best model saved to: D:\Downloads\ogladane\Ytb-dl\Churn Project\models\best_model.pkl
2026-04-02 13:52:35,836 | INFO | bank_churn | Training pipeline completed successfully
2026-04-02 14:08:53,973 | INFO | bank_churn | Starting bank churn training pipeline
2026-04-02 14:08:53,973 | INFO | bank_churn | Loading dataset from D:\Downloads\ogladane\Ytb-dl\Churn Project\data\raw\bank_churn.csv
2026-04-02 14:08:54,003 | INFO | bank_churn | Dataset loaded with shape: (10000, 14)
2026-04-02 14:08:54,015 | INFO | bank_churn | Total missing values: 0
2026-04-02 14:08:54,016 | INFO | bank_churn | Duplicate rows: 0
2026-04-02 14:08:54,016 | INFO | bank_churn | Prepared features and target
2026-04-02 14:08:54,017 | INFO | bank_churn | Feature matrix shape: (10000, 10)
2026-04-02 14:08:54,017 | INFO | bank_churn | Target distribution: {0: 0.7963, 1: 0.2037}
2026-04-02 14:08:54,018 | INFO | bank_churn | Numerical features (8): ['CreditScore', 'Age', 'Tenure', 'Balance', 'NumOfProducts', 'HasCrCard', 'IsActiveMember', 'EstimatedSalary']
2026-04-02 14:08:54,018 | INFO | bank_churn | Categorical features (2): ['Geography', 'Gender']
2026-04-02 14:08:54,025 | INFO | bank_churn | Train shape: (8000, 10) | Test shape: (2000, 10)
2026-04-02 14:08:54,026 | INFO | bank_churn | Training model: logistic_regression
2026-04-02 14:08:54,075 | INFO | bank_churn | Metrics for logistic_regression: {'accuracy': 0.721, 'balanced_accuracy': 0.7123595089696785, 'precision': 0.3949930458970793, 'recall': 0.6977886977886978, 'f1': 0.5044404973357016, 'roc_auc': 0.7648264597417139, 'model': 'logistic_regression'}
2026-04-02 14:08:54,530 | INFO | bank_churn | Training model: random_forest
2026-04-02 14:08:55,386 | INFO | bank_churn | Metrics for random_forest: {'accuracy': 0.8575, 'balanced_accuracy': 0.7312790448383668, 'precision': 0.7033333333333334, 'recall': 0.5184275184275184, 'f1': 0.5968882602545968, 'roc_auc': 0.853886243716752, 'model': 'random_forest'}
2026-04-02 14:08:55,973 | INFO | bank_churn | Training model: gradient_boosting
